name,start_time,end_time,probability,variance
"coffee machine", 07:39:55, , , 
"lamp", 09:00:47, , , 
"extractor fan", 09:23:17, , , 
"kettle", 09:28:27, , , 
"water pump", 10:30:31, , , 
"extractor fan", 10:38:48, , , 
"lamp", 11:00:38, , , 
"kettle", 11:15:29, , , 
"extractor fan", 12:06:21, , , 
"coffee machine", 13:29:40, , , 
"extractor fan", 14:24:51, , , 
"water pump", 14:32:24, , , 
"water pump", 14:33:56, , , 
"microwave", 14:54:34, , , 
"television", 15:39:19, , , 
"extractor fan", 17:46:07, , , 
