name,start_time,end_time,probability,variance
"coffee machine", 06:57:11, , , 
"lamp", 08:36:31, , , 
"extractor fan", 08:41:22, , , 
"water pump", 09:17:54, , , 
"kettle", 09:40:18, , , 
"lamp", 10:14:51, , , 
"extractor fan", 10:15:57, , , 
"microwave", 12:15:54, , , 
"extractor fan", 12:32:14, , , 
"coffee machine", 12:44:25, , , 
"microwave", 13:18:35, , , 
"extractor fan", 13:24:26, , , 
"extractor fan", 13:31:56, , , 
"television", 13:56:36, , , 
"extractor fan", 14:36:08, , , 
"extractor fan", 14:52:25, , , 
"microwave", 16:53:48, , , 
"microwave", 17:40:22, , , 
"microwave", 18:09:40, , , 
"extractor fan", 18:21:38, , , 
"microwave", 18:27:51, , , 
"extractor fan", 18:52:26, , , 
