2020-04-01, "washing machine", 08:06:47
2020-04-02, "washing machine", 16:34:40
2020-04-03, "washing machine", 08:30:07
2020-04-05, "washing machine", 12:22:11
2020-04-06, "washing machine", 06:55:48
2020-04-07, "washing machine", 09:00:11
2020-04-07, "washing machine", 09:21:54
2020-04-07, "washing machine", 11:19:58
2020-04-07, "washing machine", 12:39:33
2020-04-07, "washing machine", 14:23:26
2020-04-07, "washing machine", 17:26:37
2020-04-08, "washing machine", 06:46:39
2020-04-08, "washing machine", 09:13:00
2020-04-08, "washing machine", 11:03:12
2020-04-09, "washing machine", 08:17:46
2020-04-10, "washing machine", 08:47:18
2020-04-10, "washing machine", 09:44:17
2020-04-11, "washing machine", 08:36:42
2020-04-11, "washing machine", 12:06:38
2020-04-11, "washing machine", 13:38:57
2020-04-12, "washing machine", 17:35:12
2020-04-12, "washing machine", 17:52:53
2020-04-13, "washing machine", 10:18:44
2020-04-14, "washing machine", 11:28:47
