2020-03-01, "floor lamp", 10:18:32
2020-03-01, "floor lamp", 11:00:33
2020-03-01, "floor lamp", 17:28:45
2020-03-02, "floor lamp", 08:19:34
2020-03-02, "floor lamp", 11:13:27
2020-03-02, "floor lamp", 16:10:51
2020-03-03, "floor lamp", 08:35:04
2020-03-03, "floor lamp", 12:31:44
2020-03-03, "floor lamp", 19:28:18
2020-03-04, "floor lamp", 10:03:50
2020-03-04, "floor lamp", 11:29:24
2020-03-04, "floor lamp", 12:41:56
2020-03-05, "floor lamp", 06:59:11
2020-03-05, "floor lamp", 17:06:39
2020-03-06, "floor lamp", 08:51:08
2020-03-06, "floor lamp", 11:17:35
2020-03-06, "floor lamp", 16:39:12
2020-03-07, "floor lamp", 10:14:59
2020-03-07, "floor lamp", 14:05:08
2020-03-07, "floor lamp", 16:02:25
2020-03-08, "floor lamp", 17:26:17
2020-03-09, "floor lamp", 08:39:59
2020-03-10, "floor lamp", 17:21:48
2020-03-11, "floor lamp", 08:20:05
2020-03-11, "floor lamp", 13:45:02
2020-03-11, "floor lamp", 15:21:53
2020-03-11, "floor lamp", 15:32:57
2020-03-11, "floor lamp", 18:30:32
2020-03-12, "floor lamp", 09:26:19
2020-03-12, "floor lamp", 10:09:57
2020-03-12, "floor lamp", 10:45:31
2020-03-12, "floor lamp", 16:15:44
2020-03-12, "floor lamp", 17:50:25
2020-03-13, "floor lamp", 08:27:46
2020-03-13, "floor lamp", 13:10:43
2020-03-13, "floor lamp", 18:33:11
2020-03-14, "floor lamp", 09:19:27
