2020-01-04, "lamp", 09:00:47
2020-01-04, "lamp", 11:00:38
2020-01-05, "lamp", 14:35:05
2020-01-06, "lamp", 08:00:22
2020-01-07, "lamp", 07:51:32
2020-01-07, "lamp", 11:06:39
2020-01-07, "lamp", 12:08:07
2020-01-08, "lamp", 10:43:12
2020-01-10, "lamp", 08:36:31
2020-01-10, "lamp", 10:14:51
2020-01-11, "lamp", 08:02:09
2020-01-11, "lamp", 10:25:12
2020-01-12, "lamp", 08:12:57
2020-01-12, "lamp", 08:26:56
2020-01-13, "lamp", 08:58:17
2020-01-13, "lamp", 13:54:14
2020-01-14, "lamp", 10:14:34
2020-01-14, "lamp", 14:00:59
2020-01-14, "lamp", 14:58:35
2020-01-14, "lamp", 17:59:46
2020-01-15, "lamp", 09:11:58
2020-01-16, "lamp", 16:56:41
2020-01-16, "lamp", 20:55:34
2020-01-17, "lamp", 11:44:41
