name,start_time,end_time,probability,variance
"kettle", 06:03:47, , , 
"coffee machine", 06:04:45, , , 
"toaster", 06:15:22, , , 
"kettle", 07:30:52, , , 
"kettle", 07:46:12, , , 
"washing machine", 08:30:07, , , 
"toaster", 08:44:09, , , 
"kettle", 11:57:18, , , 
"toaster", 12:10:05, , , 
"kettle", 12:14:40, , , 
"coffee machine", 13:41:42, , , 
"kettle", 13:45:58, , , 
"kettle", 13:53:46, , , 
"microwave", 17:12:39, , , 
"microwave", 17:16:13, , , 
"microwave", 17:20:30, , , 
"kettle", 23:01:57, , , 
"kettle", 23:05:12, , , 
