name,start_time,end_time,probability,variance
"coffee machine", 05:32:35, , , 
"kettle", 05:32:39, , , 
"kettle", 07:09:03, , , 
"washing machine", 09:00:11, , , 
"washing machine", 09:21:54, , , 
"microwave", 09:30:52, , , 
"microwave", 09:55:42, , , 
"coffee machine", 10:29:25, , , 
"washing machine", 11:19:58, , , 
"coffee machine", 12:38:38, , , 
"washing machine", 12:39:33, , , 
"washing machine", 14:23:26, , , 
"washing machine", 17:26:37, , , 
"kettle", 21:24:08, , , 
"kettle", 22:01:44, , , 
"kettle", 22:07:24, , , 
