name,start_time,end_time,probability,variance
"coffee machine", 06:14:31, , , 
"kettle", 06:18:37, , , 
"toaster", 06:28:51, , , 
"washing machine", 08:17:46, , , 
"kettle", 08:19:54, , , 
"microwave", 08:57:45, , , 
"microwave", 09:10:54, , , 
"microwave", 10:10:07, , , 
"microwave", 10:16:02, , , 
"kettle", 10:33:58, , , 
"coffee machine", 10:39:51, , , 
"kettle", 15:03:32, , , 
"microwave", 18:30:40, , , 
"kettle", 19:07:01, , , 
"kettle", 19:09:29, , , 
"kettle", 23:37:55, , , 
