2020-01-04, "kettle", 09:28:27
2020-01-04, "kettle", 11:15:29
2020-01-05, "kettle", 11:42:39
2020-01-07, "kettle", 08:08:39
2020-01-08, "kettle", 09:47:37
2020-01-09, "kettle", 07:55:45
2020-01-10, "kettle", 09:40:18
2020-01-11, "kettle", 09:21:02
2020-01-12, "kettle", 08:17:55
2020-01-12, "kettle", 21:40:44
2020-01-13, "kettle", 09:04:01
2020-01-13, "kettle", 14:59:59
2020-01-14, "kettle", 09:31:23
2020-01-14, "kettle", 10:19:06
2020-01-14, "kettle", 14:58:27
2020-01-14, "kettle", 14:58:47
2020-01-14, "kettle", 18:00:04
2020-01-15, "kettle", 06:23:21
2020-01-15, "kettle", 08:17:06
2020-01-15, "kettle", 14:17:44
2020-01-15, "kettle", 14:58:02
2020-01-15, "kettle", 15:20:25
2020-01-16, "kettle", 07:34:23
2020-01-16, "kettle", 17:46:16
2020-01-17, "kettle", 11:46:29
2020-01-17, "kettle", 13:02:30
