name,start_time,end_time,probability,variance
"lamp_1", 05:06:47, , , 
"kettle", 06:10:11, , , 
"vacuum cleaner", 06:22:57, , , 
"kettle", 06:46:13, , , 
"kettle", 06:52:30, , , 
"kettle", 06:56:34, , , 
"kettle", 07:02:44, , , 
"kettle", 07:21:18, , , 
"computer", 07:32:14, , , 
"kettle", 07:57:35, , , 
"computer", 09:16:54, , , 
"kettle", 09:54:18, , , 
"computer", 10:08:20, , , 
"kettle", 10:46:58, , , 
"computer", 10:55:14, , , 
"computer", 11:59:35, , , 
"coffee machine", 14:12:59, , , 
"lamp_1", 14:51:58, , , 
"kettle", 14:59:38, , , 
"computer", 17:02:17, , , 
"computer", 19:21:46, , , 
"kettle", 22:45:06, , , 
