name,start_time,end_time,probability,variance
"lamp_1", 05:05:24, , , 
"kettle", 06:05:12, , , 
"vacuum cleaner", 06:11:38, , , 
"kettle", 06:36:41, , , 
"kettle", 06:43:05, , , 
"kettle", 06:47:23, , , 
"kettle", 06:53:50, , , 
"kettle", 07:04:15, , , 
"kettle", 07:29:49, , , 
"computer", 09:01:09, , , 
"computer", 09:39:46, , , 
"computer", 11:55:35, , , 
"kettle", 14:39:44, , , 
"lamp_1", 14:46:44, , , 
"coffee machine", 14:59:26, , , 
"computer", 15:04:11, , , 
"kettle", 16:12:04, , , 
"computer", 16:59:02, , , 
"computer", 18:30:27, , , 
"computer", 19:02:27, , , 
"computer", 20:52:16, , , 
"kettle", 22:42:33, , , 
