name,start_time,end_time,probability,variance
"kettle", 06:27:00, , , 
"vacuum cleaner", 06:36:09, , , 
"kettle", 06:59:08, , , 
"kettle", 07:05:24, , , 
"kettle", 07:09:05, , , 
"kettle", 07:14:50, , , 
"kettle", 07:20:34, , , 
"kettle", 09:55:13, , , 
"kettle", 10:08:49, , , 
"kettle", 11:03:11, , , 
"computer", 11:43:52, , , 
"computer", 13:44:53, , , 
"coffee machine", 14:48:58, , , 
"kettle", 14:52:02, , , 
"lamp_1", 16:26:31, , , 
"computer", 18:38:14, , , 
"computer", 20:53:37, , , 
"computer", 21:10:02, , , 
"kettle", 22:23:02, , , 
