name,start_time,end_time,probability,variance
"kettle", 06:25:54, , , 
"vacuum cleaner", 06:34:20, , , 
"kettle", 06:56:49, , , 
"kettle", 07:03:13, , , 
"kettle", 07:07:10, , , 
"kettle", 07:13:05, , , 
"kettle", 07:17:06, , , 
"computer", 08:48:10, , , 
"microwave", 10:06:29, , , 
"microwave", 10:06:53, , , 
"computer", 12:38:56, , , 
"kettle", 13:54:13, , , 
"coffee machine", 14:35:18, , , 
"computer", 15:39:32, , , 
"lamp_1", 15:45:32, , , 
"kettle", 16:15:27, , , 
"computer", 16:28:39, , , 
"computer", 18:23:55, , , 
"kettle", 21:32:25, , , 
"kettle", 22:48:57, , , 
