name,start_time,end_time,probability,variance
"kettle", 06:10:47, , , 
"vacuum cleaner", 06:23:54, , , 
"kettle", 07:02:22, , , 
"kettle", 07:08:48, , , 
"kettle", 07:12:24, , , 
"kettle", 07:16:07, , , 
"kettle", 07:31:23, , , 
"computer", 09:54:21, , , 
"kettle", 09:59:28, , , 
"computer", 10:13:12, , , 
"microwave", 10:25:48, , , 
"microwave", 10:30:21, , , 
"computer", 10:32:23, , , 
"kettle", 14:14:41, , , 
"coffee machine", 14:53:29, , , 
"lamp_1", 15:47:05, , , 
"microwave", 15:47:28, , , 
"kettle", 16:21:23, , , 
"computer", 16:38:09, , , 
"computer", 17:33:55, , , 
"vacuum cleaner", 18:56:58, , , 
"computer", 19:36:55, , , 
"kettle", 20:34:10, , , 
"kettle", 21:57:08, , , 
"kettle", 22:58:10, , , 
