name,start_time,end_time,probability,variance
"lamp_1", 04:51:36, , , 
"kettle", 05:57:35, , , 
"vacuum cleaner", 06:07:44, , , 
"kettle", 06:53:36, , , 
"kettle", 07:23:00, , , 
"computer", 09:57:01, , , 
"kettle", 10:36:48, , , 
"kettle", 12:22:49, , , 
"kettle", 12:23:05, , , 
"computer", 13:30:03, , , 
"microwave", 14:27:05, , , 
"kettle", 14:36:57, , , 
"lamp_1", 14:43:32, , , 
"coffee machine", 14:53:15, , , 
"computer", 16:56:35, , , 
"computer", 18:28:04, , , 
"computer", 19:46:55, , , 
"computer", 20:48:33, , , 
"kettle", 22:25:23, , , 
